"","PageTitle","Entrances","Bounce.Rate","X..Exit","AvgTimeonPage","PageViews","UniquePageViews"
"2860","San Francisco 311 : Request Repair or Replacement of a Sign",424,75.71,65.86,"2M 7S",659,517
"2861","San Francisco Port Department : Waterfront Working Group & Advisory Teams",129,1.55,21.43,"41S",658,198
"2862","City and County of San Francisco : CMD Forms and Attachments for Primes Bidding on City Contracts",398,65.08,58.66,"3M 18S",658,568
"2863","Office of the Mayor : News Releases : Mayor Lee & Board President Breed Announce Additional $47.3 Million in New Hiring & Infrastructure Upgrades at Fire Department & Emergency Management",525,88.19,82.67,"4M 25S",658,603
"2864","San Francisco 311 : Graffiti - All Matters",229,79.04,38.15,"28S",658,599
"2865","San Francisco Police Department : Permit Approvals",253,71.15,44.53,"1M 28S",658,581
"2866","San Francisco Port Department : Previous Obsolete General Conditions Versions",9,0,48.63,"1S",658,326
"2867","SFGov : Initiatives",169,92.9,34.8,"52S",658,523
"2868","Office of the City Attorney : Contact Us",252,72.62,58.69,"2M 16S",656,516
"2869","San Francisco 311 : Affidavit of Single Status - 106849",440,75.91,66.31,"3M 28S",656,452
"2870","San Francisco District Attorney : Publications",71,83.1,32.47,"1M 23S",656,482
"2871","San Francisco Port Department : RFQ GROUP NO. 4 (Turner Construction Company)",93,4.3,8.08,"37S",656,328
"2872","San Francisco Rent Board : Section 8 Units Subject to the Rent Ordinance as of 8/30/98 - 8/27/98",448,76.56,69.36,"4M 5S",656,588
"2873","San Francisco Public Works : Balboa Streetscape Improvements",151,23.18,24.43,"28S",655,334
"2874","Family Violence Council | Department on the Status of Women",170,52.94,35.17,"1M 34S",654,388
"2875","City and County of San Francisco : Second Floor - 12 of 14",4,100,3.52,"7S",654,512
"2876","San Francisco Department of Human Resources : Registration and Logistics",73,46.58,21.71,"1M 25S",654,551
"2877","Department of Children, Youth and Their Families : Early Care & Education",200,77.11,42.11,"56S",653,452
"2878","San Francisco Department of Emergency Management : Our Hazards",312,91.67,57.89,"1M 55S",653,599
"2879","San Francisco Rent Board : Topic No. 014: Purchase of the Ordinance and Rules and Regulations",73,83.56,17.79,"41S",652,584
"2880","Meritorious Conduct Awards | Fire Department",60,45,16.41,"29S",652,477
"2881","San Francisco Fire Department : Temporary Fire Station Closure & Service Status",296,93.24,51.84,"1M 7S",652,615
"2882","San Francisco Rent Board : Fact Sheet 8 - Hearings, Mediations and Appeals",198,66.67,48.47,"3M 21S",652,597
"2883","San Francisco Port Department : Waterfront Design Advisory Committee",130,1.54,16.92,"24S",650,247
"2884","Health Service System | Welcome",105,28.1,66.92,"6M 37S",650,590
"2885","San Francisco Public Works : Other Various Repaving and Sewer Projects",191,26.7,29.43,"59S",649,349
"2886","LGBT Initiatives | Human Rights Commission",255,74.22,48.54,"1M 31S",649,539
"2887","San Francisco Port Department : June 23, 2015",21,0,20.18,"59S",649,265
"2888","San Francisco Public Works : Laguna Honda Hospital",221,22.17,33.28,"42S",649,321
"2889","San Francisco 311 : Dog Waste / Feces / Defecating on Public Property - 400542",549,79.78,76.39,"2M 29S",648,574
"2890","Board of Supervisors : Cannabis State Legalization Task Force",417,76.74,66.51,"4M 27S",648,517
"2891","Photo Gallery | Fire Department",44,54.55,14.97,"25S",648,319
"2892","Highlights | Department of Building Inspection",97,48.45,20.4,"46S",647,491
"2893","San Francisco Ethics Commission: Campaign Consultants - Research and Filings",61,21.31,17,"1M 10S",647,429
"2894","Fictitious Business Name (FBN) Filing Instructions | Office of the County Clerk",30,30.3,26.16,"2M 9S",646,464
"2895","San Francisco 311 : Safety",57,92.98,58.45,"1M 15S",645,554
"2896","San Francisco Public Works : Permits - Additional Resources and Requirements",157,10.83,25.62,"46S",644,291
"2897","San Francisco Department of Human Resources : Training Related to Equal Opportunity Employment",298,85.91,60.4,"2M 13S",644,568
"2898","San Francisco District Attorney : Domestic Violence",160,65.62,38.98,"1M 38S",644,528
"2899","SFGov : Documents",20,50,4.35,"9S",644,554
"2900","San Francisco Port Department : October 13, 2015",63,15.87,27.22,"52S",643,263
"2901","Give2SF",144,43.75,17.26,"2M 4S",643,234
"2902","Lookup Blight",403,77.92,61.9,"1M 58S",643,462
"2903","San Francisco Public Works : Monument Preservation",233,19.31,30.79,"43S",643,275
"2904","Demolition Permits Filed and Issued | Department of Building Inspection",327,57.27,50.31,"2M 32S",642,538
"2905","San Francisco Port Department : Registration Page for the Hazardous Waste RFP",11,0,3.58,"21S",642,315
"2906","San Francisco Port Department : December 8, 2015",64,12.5,26.05,"52S",641,240
"2907","Charter & Administrative Code | Civil Service Commission",50,38,13.42,"48S",641,426
"2908","San Francisco Public Works : Ocean Avenue Corridor Design Project",157,14.65,27.97,"32S",640,331
"2909","Board of Supervisors : Online Appeal Application",39,69.23,33.33,"1M 42S",639,354
"2910","City and County of San Francisco : 2015 Summer Timeline",71,83.1,38.24,"57S",638,557
"2911","Establish Paternity | Department of Child Support Services",144,73.1,33.54,"1M 7S",638,519
"2912","San Francisco Department of Human Resources : Exception to the Order of Layoff",113,86.73,37.15,"2M 23S",638,419
"2913","Controller : State Association of County Auditors - Annual Conference",499,90.38,82.42,"6M 3S",637,539
"2914","Topic No. 205: Evictions Pursuant to the Ellis Act | Rent Board",304,74.43,52.83,"3M 12S",636,568
"2915","SFGov : Advisory Board, Commission, Task Force",17,52.94,6.45,"18S",636,564
"2916","City and County of San Francisco : Process Server",381,70.34,56.13,"1M 14S",636,522
"2917","Commission of Animal Control and Welfare",176,44.57,20.28,"1M 52S",636,341
"2918","Search | San Francisco Food",5,20,15.09,"32S",636,595
"2919","Mayor's Office of Housing and Community Development : Inclusionary BMR Ownership Program Developer/Agent Requirements",212,37.26,36.06,"1M 39S",635,455
"2920","San Francisco Ethics Commission: Jobs Internships",235,83.4,57.64,"1M 39S",635,529
"2921","2015 Gross Receipts Tax & Payroll Expense Tax Online Filing Instructions | Treasurer & Tax Collector",208,61.54,43.62,"2M 46S",635,476
"2922","POA1_FINAL_2.3.14.pdf | Treasurer & Tax Collector",133,34.59,28.5,"2M 4S",635,482
"2923","San Francisco Department of Human Resources : Recruitment Toolkits",45,93.33,16.43,"51S",633,406
"2924","San Francisco Ethics Commission: Public Financing Program",126,39.68,15.32,"53S",633,362
"2925","Board of Supervisors : Contracting Opportunities",128,60.94,27.17,"1M 35S",633,361
"2926","Board of Supervisors : Filing",261,55.56,33.65,"57S",633,518
"2927","Rent Board Referral Listing | Rent Board",80,62.96,30.81,"2M 18S",633,515
"2928","San Francisco Public Works : Easy to Install Construction Details",146,6.16,22.63,"32S",632,287
"2929","San Francisco Ethics Commission: Campaign Consultant Activity Dashboard",93,69.89,37.72,"3M 10S",631,525
"2930","Free and Affordable Food | San Francisco Food",181,52.75,45.01,"2M 2S",631,432
"2931","Access Appeals Commission | Department of Building Inspection",335,64.18,46.9,"2M 13S",629,498
"2932","Board of Supervisors : Youth Justice Committee",49,48.98,9.06,"35S",629,339
"2933","City and County of San Francisco : Drawing Results",371,97.04,74.72,"2M 34S",629,570
"2934","Office of Economic and Workforce Development : First Source",329,94.22,63.75,"1M 44S",629,542
"2935","Office of Economic and Workforce Development : Youth Council Meeting",295,72.54,48.33,"1M 40S",629,476
"2936","San Francisco Police Department : Citizens Complaints",464,58.62,56.12,"1M 22S",629,537
"2937","Search | Office of the County Clerk",18,42.86,15.26,"38S",629,543
"2938","San Francisco 311 : PUC Water Quality FAQ - 4067",561,90.2,87.24,"4M 46S",627,566
"2939","San Francisco Fire Department : How to File a Complaint",356,83.99,55.5,"1M 51S",627,585
"2940","Voting in San Francisco | Department of Elections",10,20,8.61,"1M 3S",627,249
"2941","Fee Schedule | Animal Care & Control",39,55.56,31.63,"1M 14S",626,539
"2942","Department of Human Services | Welcome",160,39.88,49.84,"2M 38S",626,545
"2943","San Francisco Ethics Commission: Enforcement Summaries",64,39.06,35.2,"2M 43S",625,464
"2944","Controller : Outstanding Debt & Long Term Obligations",340,82.35,58.43,"1M 36S",623,523
"2945","San Francisco 311 : Bicycles",343,75.51,65.01,"1M 46S",623,482
"2946","Qualified Website Companies - Transient Occupancy Tax (TOT) | Treasurer & Tax Collector",167,66.87,39.17,"1M 27S",623,544
"2947","Grant Opportunities | Human Rights Commission",183,73.22,47.11,"1M 36S",622,437
"2948","San Francisco Police Department : SF Police Youth Fishing Program",345,73.62,50.96,"1M 2S",622,513
"2949","City and County of San Francisco : Election Archives by Year",42,42.86,21.22,"1M 5S",622,345
"2950","San Francisco 311 : Twitter",247,79.35,49.36,"34S",622,576
"2951","City and County of San Francisco : Second Floor - 9 of 14",0,0,1.29,"4S",621,528
"2952","SFERS : Redeposit & Purchase of Service (Buyback)",165,96.97,35.59,"1M 9S",621,542
"2953","Controller : Vendor Debarment Public Notice",483,91.93,80.52,"1M 27S",621,543
"2954","City and County of San Francisco : Coffee Card Winners",423,94.8,80,"1M 40S",620,576
"2955","Merit System and Related Provisions | Civil Service Commission",55,67.27,24.19,"1M 6S",620,499
"2956","City and County of San Francisco : 2000 Census: Redistricting Task Force",208,38.94,24.03,"1M 27S",620,432
"2957","City and County of San Francisco : Information Requests",283,78.8,48.55,"1M 18S",620,551
"2958","Office of Economic and Workforce Development : Development Agreements",238,70.59,47.82,"1M 52S",619,468
"2959","San Francisco Public Works : Adopt-A-Tree Fund",102,10.78,20.84,"55S",619,216
"2960","San Francisco : Parking and Traffic Commission",429,73.43,71.24,"1M 37S",619,484
"2961","City and County of San Francisco : Language Access Ordinance (LAO) Complaint Process",227,75.11,49.51,"1M 39S",618,500
"2962","San Francisco Police Department : Department News and Updates : SFPD Arrest Vandalism/ Hate Crime Suspect",502,87.25,78.61,"1M 53S",617,578
"2963","San Francisco Ethics Commission: Spending to Influence: Campaign Finance and Lobbying in San Francisco in 2014",125,39.2,15.88,"55S",617,310
"2964","Procedures & Forms | Civil Service Commission",20,25,6.83,"22S",615,415
"2965","San Francisco Port Department : Pier 94 Wetlands",198,25.25,33.01,"32S",615,291
"2966","City and County of San Francisco : SF Fair Lending Working Group",55,67.27,13.82,"38S",615,536
"2967","City and County of San Francisco : Mayor Lee Announces Local Hire Policy Surpasses Initial First Year Goal",118,94.07,33.06,"30S",614,582
"2968","San Francisco Fire Department : NERT News Room",183,71.04,37.68,"1M 0S",613,540
"2969","San Francisco Rent Board : Topic No. 406: Financial Hardship Appeals",183,69.95,36.38,"1M 30S",613,560
"2970","San Francisco Police Department : Oral Test",465,70.54,66.12,"3M 14S",611,515
"2971","City and County of San Francisco : Second Floor - 10 of 14",1,100,1.64,"6S",611,511
"2972","City and County of San Francisco : Community Benefit Agreements (2013)",372,56.99,47.38,"1M 44S",610,485
"2973","San Francisco Homeless Counts | Local Homeless Coordinating Board",38,21.05,7.39,"11S",609,450
"2974","San Francisco Public Works : San Francisco War Memorial Opera House",299,14.72,45.39,"18S",608,309
"2975","San Francisco Port Department : Port Events : Science Saturdays",38,26.32,13.16,"41S",608,306
"2976","H-3 Level II: Paramedic | Fire Department",150,57.72,47.45,"1M 57S",607,509
"2977","City and County of San Francisco : Full Reentry Council",151,83.44,28.83,"43S",607,363
"2978","San Francisco Public Works : Outreach and Enforcement Team (OnE Team)",166,22.29,25.91,"37S",606,285
"2979","San Francisco Department of Emergency Management : Annual EMS Awards",316,86.08,58.09,"1M 18S",606,503
"2980","Section 37.2 Definitions | Rent Board",128,65.87,43.31,"3M 0S",605,513
"2981","San Francisco Police Department : Department News and Updates : SFPD Arrest Vandalism & Road Rage Suspect",501,87.62,80.13,"2M 20S",604,574
"2982","Board of Supervisors : Resolutions 2012",59,67.8,20.56,"1M 3S",603,425
"2983","City and County of San Francisco : Writing an Effective Business Plan",393,85.24,70.93,"3M 49S",602,525
"2984","City and County of San Francisco : Grant Cycle",95,65.26,39.7,"1M 36S",602,480
"2985","Office of the Mayor : News Releases : Mayor Lee Appoints Colin Lacon as Mayor’s Director of Strategic Partnerships",516,85.85,82.56,"3M 40S",602,532
"2986","City and County of San Francisco : Archives",26,50,7.97,"38S",602,371
"2987","Department of Children, Youth and Their Families : About Our Funding",162,68.52,39.93,"1M 49S",601,498
"2988","City and County of San Francisco : South Light Court - 3 of 3",6,50,6.66,"7S",601,496
"2989","San Francisco Fire Department : Firefighters Memorial Wall",317,84.86,58.67,"1M 23S",600,524
"2990","San Francisco Rent Board : New Ordinance Amendment Re Increased Ellis Relocation Payments to Tenants (6/14/15)",175,72.57,40.17,"2M 11S",600,493
"2991","San Francisco Port Department : Port Events : Fleet Week · VISITING SHIPS",135,39.26,28.83,"1M 3S",600,227
"2992","San Francisco Department of Emergency Management : EMS Plans",45,93.33,18.17,"37S",600,540
"2993","San Francisco Ethics Commission: Other Campaign Filers - Forms and Manuals",40,30,20.67,"1M 38S",600,385
"2994","San Francisco Ethics Commission: Permit Consultants - Forms and Instructions",178,55.62,39.17,"2M 43S",600,417
"2995","San Francisco Fire Department : San Francisco EMS Awards",277,79.06,51.33,"1M 29S",600,548
"2996","Section 37.3 Rent Limitations | Rent Board",126,73.44,42.4,"3M 47S",599,523
"2997","Administration Building Lobby | Treasure Island Development Authority",106,65.09,29.88,"1M 3S",599,482
"2998","City and County of San Francisco : MCO Historical Rates",61,65.57,30.55,"1M 34S",599,517
"2999","San Francisco Department of Emergency Management : Exercise Program",59,88.14,13.88,"18S",598,551
"3000","San Francisco Port Department : Waterfront Land Use Plan Update Working Group",116,2.59,19.9,"28S",598,200
"3001","City and County of San Francisco : Personal and Professional Development Opportunities",143,93.71,35.95,"56S",598,411
"3002","Search | Shelter Monitoring Committee",4,25,4.19,"11S",596,564
"3003","District & Citywide Maps | Department of Elections",16,13.33,28.4,"1M 29S",595,258
"3004","San Francisco District Attorney : In the News",77,96.1,30.76,"47S",595,519
"3005","San Francisco Police Department : SFPD Course Catalog",194,93.3,33.95,"15S",595,448
